Circuit,Type,Direction,Location,Country,Last length used,Turns,Grands Prix,Season(s),Latitude,Longitude,Grands Prix held
Circuit of the Americas *,Race circuit,Anti-clockwise,Austin,United States,5.513 km (3.426 mi),20,United States Grand Prix,"2012–2019, 2021–2024",30°7′58″N,97°38′28″W,12
Circuit Paul Ricard,Race circuit,Clockwise,Le Castellet,France,5.842 km (3.630 mi),15,French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",43°15′2″N,5°47′30″E,18
Circuit Zandvoort *,Race circuit,Clockwise,Zandvoort,Netherlands,4.259 km (2.646 mi),14,Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2024",52°23′20″N,4°32′27″E,34
Circuit Zolder,Race circuit,Clockwise,Heusden-Zolder,Belgium,4.262 km (2.648 mi),10,Belgian Grand Prix,"1973, 1975–1982, 1984",50°59′20″N,5°15′20″E,10
Circuito da Boavista,Street circuit,Anti-clockwise,Porto,Portugal,7.775 km (4.831 mi),15,Portuguese Grand Prix,"1958, 1960",41°10′13.7″N,8°40′23.7″W,2
Circuito de Monsanto,Street circuit,Clockwise,Lisbon,Portugal,5.440 km (3.380 mi),9,Portuguese Grand Prix,1959,38°43′11″N,9°12′11″W,1
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km (2.751 mi),13,"Spanish Grand Prix,European Grand Prix","1986–1990, 1994, 1997",36°42′30″N,6°2′3″W,7
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",40°37′2″N,3°35′8″W,9
Dallas Fair Park,Street circuit,Anti-clockwise,Dallas,United States,3.901 km (2.424 mi),14,Dallas Grand Prix,1984,32°46′55″N,96°45′56″W,1
Detroit Street Circuit,Street circuit,Anti-clockwise,Detroit,United States,4.023 km (2.500 mi),20,Detroit Grand Prix,1982–1988,42°19′47.1″N,83°2′24.4″W,7
