Position,Team,Starting Grid,Total Time/Gap/Retirement,Points,Fastest Lap,DateID,DriverID,CircuitLocationID_x
9,RB Honda RBPT,10.0,+77.259,2.0,No,20240721,25,131
10,Aston Martin Aramco Mercedes,8.0,+77.976,1.0,No,20240721,11,131
11,Aston Martin Aramco Mercedes,7.0,+82.460,0.0,No,20240721,24,131
12,RB Honda RBPT,9.0,+1 lap,0.0,No,20240721,5,131
13,Haas Ferrari,11.0,+1 lap,0.0,No,20240721,15,131
14,Williams Mercedes,13.0,+1 lap,0.0,No,20240721,7,131
15,Haas Ferrari,15.0,+1 lap,0.0,No,20240721,20,131
16,Kick Sauber Ferrari,12.0,+1 lap,0.0,No,20240721,2,131
17,Williams Mercedes,14.0,+1 lap,0.0,No,20240721,35,131
18,Alpine Renault,19.0,+1 lap,0.0,No,20240721,12,131
19,Kick Sauber Ferrari,18.0,+1 lap,0.0,No,20240721,30,131
NC,Alpine Renault,20.0,DNF,0.0,No,20240721,10,131
DQ,Mercedes,6.0,1:19:57.040,0.0,No,20240728,18,74
1,Mercedes,3.0,+0.526,25.0,No,20240728,1,74
2,McLaren Mercedes,5.0,+1.173,18.0,No,20240728,33,74
3,Ferrari,1.0,+8.549,15.0,No,20240728,8,74
4,Red Bull Racing Honda RBPT,11.0,+9.226,12.0,No,20240728,3,74
5,McLaren Mercedes,4.0,+9.850,10.0,No,20240728,9,74
6,Ferrari,7.0,+19.795,8.0,No,20240728,6,74
7,Red Bull Racing Honda RBPT,2.0,+3.195,7.0,Yes,20240728,4,74
8,Aston Martin Aramco Mercedes,8.0,+49.963,4.0,No,20240728,24,74
9,Alpine Renault,9.0,+52.552,2.0,No,20240728,12,74
10,RB Honda RBPT,13.0,+54.926,1.0,No,20240728,5,74
11,Aston Martin Aramco Mercedes,15.0,+63.011,0.0,No,20240728,11,74
12,Williams Mercedes,10.0,+63.651,0.0,No,20240728,7,74
13,Alpine Renault,12.0,+64.365,0.0,No,20240728,10,74
14,Haas Ferrari,17.0,+66.631,0.0,No,20240728,20,74
15,Kick Sauber Ferrari,14.0,+70.638,0.0,No,20240728,2,74
16,RB Honda RBPT,20.0,+76.737,0.0,No,20240728,25,74
17,Williams Mercedes,18.0,+86.057,0.0,No,20240728,35,74
18,Haas Ferrari,16.0,+88.833,0.0,No,20240728,15,74
NC,Kick Sauber Ferrari,19.0,DNF,0.0,No,20240728,30,74
1,McLaren Mercedes,1.0,1:30:45.519,26.0,Yes,20240825,9,101
2,Red Bull Racing Honda RBPT,2.0,+22.896,18.0,No,20240825,3,101
3,Ferrari,6.0,+25.439,15.0,No,20240825,8,101
4,McLaren Mercedes,3.0,+27.337,12.0,No,20240825,33,101
5,Ferrari,10.0,+32.137,10.0,No,20240825,6,101
6,Red Bull Racing Honda RBPT,5.0,+39.542,8.0,No,20240825,4,101
7,Mercedes,4.0,+44.617,6.0,No,20240825,18,101
8,Mercedes,14.0,+49.599,4.0,No,20240825,1,101
9,Alpine Renault,9.0,+1 lap,2.0,No,20240825,10,101
10,Aston Martin Aramco Mercedes,7.0,+1 lap,1.0,No,20240825,24,101
11,Haas Ferrari,12.0,+1 lap,0.0,No,20240825,15,101
12,RB Honda RBPT,13.0,+1 lap,0.0,No,20240825,5,101
13,Aston Martin Aramco Mercedes,8.0,+1 lap,0.0,No,20240825,11,101
14,Williams Mercedes,19.0,+1 lap,0.0,No,20240825,7,101
15,Alpine Renault,15.0,+1 lap,0.0,No,20240825,12,101
16,Williams Mercedes,18.0,+1 lap,0.0,No,20240825,35,101
17,RB Honda RBPT,11.0,+1 lap,0.0,No,20240825,25,101
18,Haas Ferrari,20.0,+1 lap,0.0,No,20240825,20,101
19,Kick Sauber Ferrari,16.0,+2 laps,0.0,No,20240825,2,101
20,Kick Sauber Ferrari,17.0,+2 laps,0.0,No,20240825,30,101
1,Ferrari,4.0,1:14:40.727,25.0,No,20240901,8,26
2,McLaren Mercedes,2.0,+2.664,18.0,No,20240901,33,26
3,McLaren Mercedes,1.0,+6.153,16.0,Yes,20240901,9,26
4,Ferrari,5.0,+15.621,12.0,No,20240901,6,26
5,Mercedes,6.0,+22.820,10.0,No,20240901,1,26
6,Red Bull Racing Honda RBPT,7.0,+37.932,8.0,No,20240901,3,26
7,Mercedes,3.0,+39.715,6.0,No,20240901,18,26
8,Red Bull Racing Honda RBPT,8.0,+54.148,4.0,No,20240901,4,26
9,Williams Mercedes,9.0,+67.456,2.0,No,20240901,7,26
10,Haas Ferrari,13.0,+68.302,1.0,No,20240901,20,26
11,Aston Martin Aramco Mercedes,11.0,+68.495,0.0,No,20240901,24,26
12,Williams Mercedes,18.0,+81.308,0.0,No,20240901,37,26
13,RB Honda RBPT,12.0,+93.452,0.0,No,20240901,5,26
14,Alpine Renault,15.0,+1 lap,0.0,No,20240901,12,26
15,Alpine Renault,14.0,+1 lap,0.0,No,20240901,10,26
16,Kick Sauber Ferrari,19.0,+1 lap,0.0,No,20240901,2,26
17,Haas Ferrari,10.0,+1 lap,0.0,No,20240901,15,26
18,Kick Sauber Ferrari,20.0,+1 lap,0.0,No,20240901,30,26
19,Aston Martin Aramco Mercedes,17.0,+1 lap,0.0,No,20240901,11,26
NC,RB Honda RBPT,16.0,DNF,0.0,No,20240901,25,26
1,McLaren Mercedes,2.0,1:32:58.007,25.0,No,20240915,33,36
2,Ferrari,1.0,+10.910,18.0,No,20240915,8,36
3,Mercedes,5.0,+31.328,15.0,No,20240915,18,36
4,McLaren Mercedes,15.0,+36.142,13.0,Yes,20240915,9,36
5,Red Bull Racing Honda RBPT,6.0,+77.098,10.0,No,20240915,3,36
6,Aston Martin Aramco Mercedes,7.0,+85.468,8.0,No,20240915,24,36
7,Williams Mercedes,9.0,+87.396,6.0,No,20240915,7,36
8,Williams Mercedes,8.0,+89.541,4.0,No,20240915,37,36
9,Mercedes,19.0,+92.401,2.0,No,20240915,1,36
10,Haas Ferrari,10.0,+93.127,1.0,No,20240915,36,36
11,Haas Ferrari,12.0,+93.465,0.0,No,20240915,15,36
12,Alpine Renault,18.0,+117.189,0.0,No,20240915,10,36
13,RB Honda RBPT,14.0,+146.907,0.0,No,20240915,5,36
14,Kick Sauber Ferrari,17.0,+148.841,0.0,No,20240915,30,36
15,Alpine Renault,20.0,+1 lap,0.0,No,20240915,12,36
16,Kick Sauber Ferrari,16.0,+1 lap,0.0,No,20240915,2,36
NC,Red Bull Racing Honda RBPT,4.0,DNF,0.0,No,20240915,4,36
NC,Ferrari,3.0,DNF,0.0,No,20240915,6,36
NC,Aston Martin Aramco Mercedes,13.0,DNF,0.0,No,20240915,11,36
NC,RB Honda RBPT,11.0,DNF,0.0,No,20240915,25,36
1,McLaren Mercedes,1.0,1:40:52.571,25.0,No,20240922,9,146
2,Red Bull Racing Honda RBPT,2.0,+20.945,18.0,No,20240922,3,146
3,McLaren Mercedes,5.0,+41.823,15.0,No,20240922,33,146
4,Mercedes,4.0,+61.040,12.0,No,20240922,18,146
5,Ferrari,9.0,+62.430,10.0,No,20240922,8,146
6,Mercedes,3.0,+85.248,8.0,No,20240922,1,146
7,Ferrari,10.0,+96.039,6.0,No,20240922,6,146
8,Aston Martin Aramco Mercedes,7.0,+1 lap,4.0,No,20240922,24,146
9,Haas Ferrari,6.0,+1 lap,2.0,No,20240922,15,146
10,Red Bull Racing Honda RBPT,13.0,+1 lap,1.0,No,20240922,4,146
11,Williams Mercedes,12.0,+1 lap,0.0,No,20240922,37,146
12,RB Honda RBPT,8.0,+1 lap,0.0,No,20240922,25,146
13,Alpine Renault,15.0,+1 lap,0.0,No,20240922,12,146
14,Aston Martin Aramco Mercedes,17.0,+1 lap,0.0,No,20240922,11,146
15,Kick Sauber Ferrari,20.0,+1 lap,0.0,No,20240922,30,146
16,Kick Sauber Ferrari,19.0,+1 lap,0.0,No,20240922,2,146
17,Alpine Renault,18.0,+1 lap,0.0,No,20240922,10,146
18,RB Honda RBPT,16.0,+1 lap,0.0,Yes,20240922,5,146
NC,Haas Ferrari,14.0,DNF,0.0,No,20240922,20,146
NC,Williams Mercedes,11.0,DNF,0.0,No,20240922,7,146
1,Ferrari,4.0,1:35:09.639,25.0,No,20241020,8,87
2,Ferrari,3.0,+8.562,18.0,No,20241020,6,87
3,Red Bull Racing Honda RBPT,2.0,+19.412,15.0,No,20241020,3,87
4,McLaren Mercedes,1.0,+20.354,12.0,No,20241020,9,87
5,McLaren Mercedes,5.0,+21.921,10.0,No,20241020,33,87
6,Mercedes,20.0,+56.295,8.0,No,20241020,18,87
7,Red Bull Racing Honda RBPT,9.0,+59.072,6.0,No,20241020,4,87
8,Haas Ferrari,11.0,+62.957,4.0,No,20241020,15,87
9,RB Honda RBPT,19.0,+70.563,2.0,No,20241020,34,87
10,Williams Mercedes,15.0,+71.979,1.0,No,20241020,37,87
11,Haas Ferrari,8.0,+79.782,0.0,No,20241020,20,87
12,Alpine Renault,6.0,+90.558,0.0,No,20241020,10,87
13,Aston Martin Aramco Mercedes,7.0,+1 lap,0.0,No,20241020,24,87
14,RB Honda RBPT,10.0,+1 lap,0.0,No,20241020,25,87
15,Aston Martin Aramco Mercedes,13.0,+1 lap,0.0,No,20241020,11,87
16,Williams Mercedes,14.0,+1 lap,0.0,No,20241020,7,87
17,Kick Sauber Ferrari,16.0,+1 lap,0.0,No,20241020,2,87
18,Alpine Renault,12.0,+1 lap,0.0,Yes,20241020,12,87
19,Kick Sauber Ferrari,18.0,+1 lap,0.0,No,20241020,30,87
NC,Mercedes,17.0,DNF,0.0,No,20241020,1,87
1,Ferrari,1.0,1:40:55.800,25.0,No,20241027,6,14
2,McLaren Mercedes,3.0,+4.705,18.0,No,20241027,9,14
3,Ferrari,4.0,+34.387,16.0,Yes,20241027,8,14
4,Mercedes,6.0,+44.780,12.0,No,20241027,1,14
5,Mercedes,5.0,+48.536,10.0,No,20241027,18,14
6,Red Bull Racing Honda RBPT,2.0,+59.558,8.0,No,20241027,3,14
7,Haas Ferrari,7.0,+63.642,6.0,No,20241027,20,14
8,McLaren Mercedes,17.0,+64.928,4.0,No,20241027,33,14
9,Haas Ferrari,10.0,+1 lap,2.0,No,20241027,15,14
10,Alpine Renault,8.0,+1 lap,1.0,No,20241027,10,14
11,Aston Martin Aramco Mercedes,14.0,+1 lap,0.0,No,20241027,11,14
12,Williams Mercedes,16.0,+1 lap,0.0,No,20241027,37,14
13,Alpine Renault,20.0,+1 lap,0.0,No,20241027,12,14
14,Kick Sauber Ferrari,15.0,+1 lap,0.0,No,20241027,2,14
15,Kick Sauber Ferrari,19.0,+1 lap,0.0,No,20241027,30,14
16,RB Honda RBPT,12.0,+1 lap,0.0,No,20241027,34,14
17,Red Bull Racing Honda RBPT,18.0,+1 lap,0.0,No,20241027,4,14
NC,Aston Martin Aramco Mercedes,13.0,DNF,0.0,No,20241027,24,14
NC,Williams Mercedes,9.0,DNF,0.0,No,20241027,7,14
NC,RB Honda RBPT,11.0,DNF,0.0,No,20241027,25,14
1,Red Bull Racing Honda RBPT,17.0,2:06:54.430,26.0,Yes,20241103,3,24
2,Alpine Renault,4.0,+19.477,18.0,No,20241103,12,24
3,Alpine Renault,13.0,+22.532,15.0,No,20241103,10,24
4,Mercedes,2.0,+23.265,12.0,No,20241103,18,24
5,Ferrari,6.0,+30.177,10.0,No,20241103,8,24
6,McLaren Mercedes,1.0,+31.372,8.0,No,20241103,9,24
7,RB Honda RBPT,3.0,+42.056,6.0,No,20241103,25,24
8,McLaren Mercedes,8.0,+44.943,4.0,No,20241103,33,24
9,RB Honda RBPT,5.0,+50.452,2.0,No,20241103,34,24
10,Mercedes,14.0,+50.753,1.0,No,20241103,1,24
11,Red Bull Racing Honda RBPT,12.0,+51.531,0.0,No,20241103,4,24
12,Haas Ferrari,15.0,+57.085,0.0,No,20241103,36,24
13,Kick Sauber Ferrari,11.0,+63.588,0.0,No,20241103,2,24
14,Aston Martin Aramco Mercedes,9.0,+78.049,0.0,No,20241103,24,24
15,Kick Sauber Ferrari,19.0,+79.649,0.0,No,20241103,30,24
NC,Ferrari,20.0,DNF,0.0,No,20241103,6,24
NC,Williams Mercedes,16.0,DNF,0.0,No,20241103,37,24
NC,Williams Mercedes,7.0,DNF,0.0,No,20241103,7,24
NC,Aston Martin Aramco Mercedes,10.0,DNF,0.0,No,20241103,11,24
DQ,Haas Ferrari,18.0,DSQ,0.0,No,20241103,15,24
1,Mercedes,1.0,1:22:05.969,25.0,No,20241123,18,141
2,Mercedes,10.0,+7.313,18.0,No,20241123,1,141
3,Ferrari,2.0,+11.906,15.0,No,20241123,6,141
4,Ferrari,4.0,+14.283,12.0,No,20241123,8,141
5,Red Bull Racing Honda RBPT,5.0,+16.582,10.0,No,20241123,3,141
6,McLaren Mercedes,6.0,+43.385,9.0,Yes,20241123,9,141
7,McLaren Mercedes,8.0,+51.365,6.0,No,20241123,33,141
8,Haas Ferrari,9.0,+59.808,4.0,No,20241123,15,141
9,RB Honda RBPT,7.0,+62.808,2.0,No,20241123,25,141
10,Red Bull Racing Honda RBPT,15.0,+63.114,1.0,No,20241123,4,141
11,Aston Martin Aramco Mercedes,16.0,+69.195,0.0,No,20241123,24,141
12,Haas Ferrari,12.0,+69.803,0.0,No,20241123,20,141
13,Kick Sauber Ferrari,13.0,+74.085,0.0,No,20241123,30,141
14,Williams Mercedes,20.0,+75.172,0.0,No,20241123,37,141
15,Aston Martin Aramco Mercedes,18.0,+84.102,0.0,No,20241123,11,141
16,RB Honda RBPT,14.0,+91.005,0.0,No,20241123,34,141
17,Alpine Renault,11.0,+1 lap,0.0,No,20241123,12,141
18,Kick Sauber Ferrari,19.0,+1 lap,0.0,No,20241123,2,141
NC,Williams Mercedes,17.0,DNF,0.0,No,20241123,7,141
NC,Alpine Renault,3.0,DNF,0.0,No,20241123,10,141
1,Red Bull Racing Honda RBPT,2.0,1:31:05.323,25.0,No,20241201,3,144
2,Ferrari,5.0,+6.031,18.0,No,20241201,8,144
3,McLaren Mercedes,4.0,+6.819,15.0,No,20241201,33,144
4,Mercedes,1.0,+14.104,12.0,No,20241201,18,144
5,Alpine Renault,11.0,+16.782,10.0,No,20241201,10,144
6,Ferrari,7.0,+17.476,8.0,No,20241201,6,144
7,Aston Martin Aramco Mercedes,8.0,+19.867,6.0,No,20241201,24,144
8,Kick Sauber Ferrari,12.0,+25.360,4.0,No,20241201,30,144
9,Haas Ferrari,10.0,+32.177,2.0,No,20241201,20,144
10,McLaren Mercedes,3.0,+35.762,2.0,Yes,20241201,9,144
11,Kick Sauber Ferrari,13.0,+50.243,0.0,No,20241201,2,144
12,Mercedes,6.0,+56.122,0.0,No,20241201,1,144
13,RB Honda RBPT,14.0,+61.100,0.0,No,20241201,25,144
14,RB Honda RBPT,17.0,+62.656,0.0,No,20241201,34,144
15,Williams Mercedes,16.0,+1 lap,0.0,No,20241201,7,144
NC,Haas Ferrari,18.0,DNF,0.0,No,20241201,15,144
NC,Red Bull Racing Honda RBPT,9.0,DNF,0.0,No,20241201,4,144
NC,Aston Martin Aramco Mercedes,15.0,DNF,0.0,No,20241201,11,144
NC,Williams Mercedes,19.0,DNF,0.0,No,20241201,37,144
NC,Alpine Renault,20.0,DNF,0.0,No,20241201,12,144
1,McLaren Mercedes,1.0,1:26:33.291,25.0,No,20241208,9,210
2,Ferrari,3.0,+5.832,18.0,No,20241208,6,210
3,Ferrari,19.0,+31.928,15.0,No,20241208,8,210
4,Mercedes,16.0,+36.483,12.0,No,20241208,1,210
5,Mercedes,6.0,+37.538,10.0,No,20241208,18,210
6,Red Bull Racing Honda RBPT,4.0,+49.847,8.0,No,20241208,3,210
7,Alpine Renault,5.0,+72.560,6.0,No,20241208,10,210
8,Haas Ferrari,7.0,+75.554,4.0,No,20241208,15,210
9,Aston Martin Aramco Mercedes,8.0,+82.373,2.0,No,20241208,24,210
10,McLaren Mercedes,2.0,+83.821,1.0,No,20241208,33,210
11,Williams Mercedes,18.0,+1 lap,0.0,No,20241208,7,210
12,RB Honda RBPT,11.0,+1 lap,0.0,No,20241208,25,210
13,Kick Sauber Ferrari,15.0,+1 lap,0.0,No,20241208,30,210
14,Aston Martin Aramco Mercedes,13.0,+1 lap,0.0,No,20241208,11,210
15,Alpine Renault,17.0,+1 lap,0.0,No,20241208,38,210
16,Haas Ferrari,14.0,+1 lap,0.0,Yes,20241208,20,210
NC,RB Honda RBPT,12.0,DNF,0.0,No,20241208,34,210
NC,Kick Sauber Ferrari,9.0,DNF,0.0,No,20241208,2,210
NC,Williams Mercedes,20.0,DNF,0.0,No,20241208,37,210
NC,Red Bull Racing Honda RBPT,10.0,DNF,0.0,No,20241208,4,210
