Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Circuit Zolder,Race circuit,Clockwise,Heusden-Zolder,Belgium,4.262 km (2.648 mi),10,50.9889,5.2556,10,1984,1984,False,80767
Circuito da Boavista,Street circuit,Anti-clockwise,Porto,Portugal,7.775 km (4.831 mi),15,41.1705,-8.6732,2,1958,1958,False,27805
Circuito da Boavista,Street circuit,Anti-clockwise,Porto,Portugal,7.775 km (4.831 mi),15,41.1705,-8.6732,2,1960,1960,False,27805
Circuito de Monsanto,Street circuit,Clockwise,Lisbon,Portugal,5.440 km (3.380 mi),9,38.7197,-9.2031,1,1959,1959,False,41834
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km (2.751 mi),13,36.7083,-6.0342,7,1986,1990,False,68908
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km (2.751 mi),13,36.7083,-6.0342,7,1994,1994,False,68908
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km (2.751 mi),13,36.7083,-6.0342,7,1997,1997,False,68908
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1968,1968,False,21180
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1970,1970,False,21180
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1972,1972,False,21180
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1974,1974,False,21180
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1976,1979,False,21180
