Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Bahrain International Circuit,Race circuit,Clockwise,Sakhir,Bahrain,5.412 km (3.363 mi),15,26.0325,50.5106,22,2004,2010,False,90672
Bahrain International Circuit,Race circuit,Clockwise,Sakhir,Bahrain,5.412 km (3.363 mi),15,26.0325,50.5106,22,2012,2025,True,90672
Baku City Circuit,Street circuit,Anti-clockwise,Baku,Azerbaijan,6.003 km (3.730 mi),20,40.3725,49.8533,8,2016,2019,False,37306
Baku City Circuit,Street circuit,Anti-clockwise,Baku,Azerbaijan,6.003 km (3.730 mi),20,40.3725,49.8533,8,2021,2025,True,37306
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1964,1964,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1966,1966,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1968,1968,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1970,1970,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1972,1972,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1974,1974,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1976,1976,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1978,1978,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1980,1980,False,42344
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),11,51.3567,0.2625,14,1982,1986,False,42344
Buddh International Circuit,Race circuit,Clockwise,Greater Noida,India,5.141 km (3.194 mi),16,28.3506,77.535,3,2011,2013,False,38481
Bugatti Au Mans,Race circuit,Clockwise,Le Mans,France,4.430 km (2.753 mi),8,47.9333,0.2333,1,1967,1967,False,60216
Caesars Palace Grand Prix Circuit,Street circuit,Anti-clockwise,Paradise,United States,3.650 km (2.268 mi),14,36.1169,-115.175,2,1981,1982,False,60613
Charade Circuit,Road circuit,Clockwise,Saint-Genès-Champanelle,France,8.055 km (5.005 mi),38,45.7472,3.0389,4,1965,1965,False,33031
Charade Circuit,Road circuit,Clockwise,Saint-Genès-Champanelle,France,8.055 km (5.005 mi),38,45.7472,3.0389,4,1969,1970,False,33031
Charade Circuit,Road circuit,Clockwise,Saint-Genès-Champanelle,France,8.055 km (5.005 mi),38,45.7472,3.0389,4,1972,1972,False,33031
Circuit Bremgarten,Road circuit,Clockwise,Bern,Switzerland,7.208 km (4.479 mi),14,46.95,7.4108,5,1950,1954,False,95630
Circuit de Barcelona-Catalunya,Race circuit,Clockwise,Montmeló,Spain,4.657 km (2.894 mi),14,41.57,2.2611,35,1991,2025,True,76541
Circuit de Monaco,Street circuit,Clockwise,Monte Carlo,Monaco,3.337 km (2.074 mi),19,43.7347,7.4206,71,1950,1950,False,87588
Circuit de Monaco,Street circuit,Clockwise,Monte Carlo,Monaco,3.337 km (2.074 mi),19,43.7347,7.4206,71,1955,2019,False,87588
Circuit de Monaco,Street circuit,Clockwise,Monte Carlo,Monaco,3.337 km (2.074 mi),19,43.7347,7.4206,71,2021,2025,True,87588
