Race Date,CircuitLocationID_x,Round,Latitude,Longitude,temperature,wind,rain,humidity,RaceWeatherSKID
20230917,146,16,1.2915,103.8638,28.4,15.4,2.7,75.5,76
20230924,206,17,34.8417,136.5389,23.5,22.9,0.0,66.1,77
20231008,144,18,25.49,51.4542,32.7,26.0,0.0,60.1,78
20231022,87,19,30.1328,-97.6411,26.0,20.8,0.1,60.9,79
20231029,14,20,19.4061,-99.0925,17.1,20.5,0.3,70.0,80
20231105,24,21,-23.7011,-46.6972,17.8,21.1,0.3,81.1,81
20231118,141,22,36.11,-115.1622,14.7,23.0,0.0,61.1,82
20231126,210,23,24.4672,54.6031,24.4,21.2,0.0,59.9,83
20240302,34,1,26.0325,50.5106,16.8,14.8,0.0,54.7,84
20240309,136,2,21.6319,39.1044,23.6,28.6,0.0,60.5,85
20240324,8,3,-37.8497,144.9683,16.3,20.4,0.0,66.6,86
20240407,206,4,34.8417,136.5389,16.0,12.3,0.3,80.1,87
20240421,185,5,31.3389,121.2197,16.2,11.3,1.7,83.0,88
20240505,147,6,25.9581,-80.2389,25.3,21.1,0.3,71.7,89
20240519,20,7,44.3411,11.7133,18.7,10.4,0.2,78.4,90
20240526,57,8,43.7347,7.4206,18.0,8.5,0.0,81.8,91
20240609,83,9,45.5006,-73.5225,16.5,25.6,4.4,76.0,92
20240623,54,10,41.57,2.2611,20.0,17.5,2.8,79.5,93
20240630,174,11,47.2197,14.7647,22.7,13.8,0.0,68.8,94
20240707,202,12,52.0711,-1.0161,12.6,20.9,2.0,77.4,95
20240721,131,13,47.5822,19.2511,23.8,10.9,0.2,70.0,96
20240728,74,14,50.4372,5.9714,15.9,12.1,0.0,78.6,97
20240825,101,15,52.3889,4.5408,16.8,26.9,3.1,65.8,98
20240901,26,16,45.6206,9.2894,24.9,21.4,19.1,68.7,99
20240915,36,17,40.3725,49.8533,23.1,25.9,0.0,47.4,100
20240922,146,18,1.2915,103.8638,29.6,16.3,0.0,74.3,101
20241020,87,19,30.1328,-97.6411,23.2,15.5,0.0,55.5,102
20241027,14,20,19.4061,-99.0925,15.0,21.8,1.8,71.5,103
20241103,24,21,-23.7011,-46.6972,20.4,15.2,16.6,93.0,104
20241123,141,22,36.11,-115.1622,13.0,23.1,0.0,22.0,105
20241201,144,23,25.49,51.4542,19.7,28.6,0.0,60.0,106
20241208,210,24,24.4672,54.6031,23.6,16.3,0.0,51.5,107
